exchGnge	stock_symbol	dGte	dividends
NYSE	GPX	8/19/1999	0.056
NYSE	GPX	7/21/1999	0.053
NYSE	GPX	6/21/1999	0.055
NYSE	GPX	5/19/1999	0.055
NYSE	GPX	4/20/1999	0.052
NYSE	GPX	3/22/1999	0.047
NYSE	GPX	2/17/1999	0.053
NYSE	GPX	1/20/1999	0.05
NYSE	GPX	12/21/1998	0.05
NYSE	GPX	11/18/1998	0.052
NYSE	GPX	10/20/1998	0.051
NYSE	GPX	9/18/1998	0.053
NYSE	GPX	8/19/1998	0.055
NYSE	GPX	7/21/1998	0.053
NYSE	GPX	6/18/1998	0.055
NYSE	GPX	5/19/1998	0.052
NYSE	GPX	4/20/1998	0.055
NYSE	GPX	3/19/1998	0.049
NYSE	GPX	2/17/1998	0.055
NYSE	GPX	1/20/1998	0.055
NYSE	GPX	12/17/1997	0.053
NYSE	GPX	11/13/1997	0.055
NYSE	GPX	10/16/1997	0.053
NYSE	GPX	9/16/1997	0.053
NYSE	GPX	8/14/1997	0.053
NYSE	GPX	7/17/1997	0.054
NYSE	GPX	6/17/1997	0.055
NYSE	GPX	5/15/1997	0.053
NYSE	GPX	4/16/1997	0.055
NYSE	GPX	3/18/1997	0.05
NYSE	GPX	2/18/1997	0.055
NYSE	GPX	1/17/1997	0.057
NYSE	GPX	12/18/1996	0.055
NYSE	GPX	11/14/1996	0.057
NYSE	GPX	10/17/1996	0.055
NYSE	GPX	9/13/1996	0.058
NYSE	GPX	8/15/1996	0.057
NYSE	GPX	7/18/1996	0.055
NYSE	GPX	6/14/1996	0.055
NYSE	GPX	5/17/1996	0.054
NYSE	GPX	4/17/1996	0.053
NYSE	GPX	3/15/1996	0.049
NYSE	GPX	2/15/1996	0.052
NYSE	GPX	1/17/1996	0.053
NYSE	GPX	12/20/1995	0.052
NYSE	GPX	11/21/1995	0.057
NYSE	GPX	10/18/1995	0.056
NYSE	GPX	9/20/1995	0.058
NYSE	GPX	8/21/1995	0.058
NYSE	GPX	7/19/1995	0.06
NYSE	GPX	6/21/1995	0.062
NYSE	GPX	5/15/1995	0.055
NYSE	GPX	4/17/1995	0.058
NYSE	GPX	3/20/1995	0.059
NYSE	GPX	2/13/1995	0.058
NYSE	GPX	1/13/1995	0.06
NYSE	GPX	12/13/1994	0.058
NYSE	GPX	11/14/1994	0.06
NYSE	GPX	10/12/1994	0.059
NYSE	GPX	9/13/1994	0.061
NYSE	GPX	8/15/1994	0.062
NYSE	GPX	7/12/1994	0.06
NYSE	GPX	6/14/1994	0.062
NYSE	GPX	5/11/1994	0.061
NYSE	GPX	4/12/1994	0.061
NYSE	GPX	3/15/1994	0.06
NYSE	GPX	2/9/1994	0.065
NYSE	GPX	1/11/1994	0.063
NYSE	GPX	12/14/1993	0.06
NYSE	GPX	11/12/1993	0.064
NYSE	GPX	10/12/1993	0.061
NYSE	GPX	9/14/1993	0.064
NYSE	GPX	8/16/1993	0.064
NYSE	GPX	7/13/1993	0.064
NYSE	GPX	6/14/1993	0.068
NYSE	GPX	5/12/1993	0.069
NYSE	GPX	4/13/1993	0.07
NYSE	GPX	3/15/1993	0.07
NYSE	GPX	2/9/1993	0.067
NYSE	GPX	1/12/1993	0.074
NYSE	GPX	12/14/1992	0.069
NYSE	GPX	11/9/1992	0.07
NYSE	GPX	10/9/1992	0.067
NYSE	GPX	9/14/1992	0.069
NYSE	GPX	8/11/1992	0.07
NYSE	GPX	7/13/1992	0.073
NYSE	GPX	6/12/1992	0.075
NYSE	GPX	5/11/1992	0.073
NYSE	GPX	4/10/1992	0.073
NYSE	GPX	3/13/1992	0.073
NYSE	GPX	2/10/1992	0.077
NYSE	GPX	1/13/1992	0.076
NYSE	GPX	12/16/1991	0.074
NYSE	GPX	11/8/1991	0.077
NYSE	GPX	10/11/1991	0.075
NYSE	GPX	9/10/1991	0.077
NYSE	GPX	8/12/1991	0.078
NYSE	GPX	7/15/1991	0.075
NYSE	GPX	6/11/1991	0.078
NYSE	GPX	5/13/1991	0.077
NYSE	GPX	4/12/1991	0.078
NYSE	GPX	3/11/1991	0.078
NYSE	GPX	2/11/1991	0.079
NYSE	GPX	1/14/1991	0.081
NYSE	GPX	12/11/1990	0.078
NYSE	GPX	11/13/1990	0.08
NYSE	GPX	10/15/1990	0.078
NYSE	GPX	9/11/1990	0.08
NYSE	GPX	8/14/1990	0.08
NYSE	GPX	7/16/1990	0.076
NYSE	GPX	6/12/1990	0.079
NYSE	GPX	5/15/1990	0.075
NYSE	GPX	4/10/1990	0.076
NYSE	GPX	3/13/1990	0.075
NYSE	GPX	2/12/1990	0.076
NYSE	GPX	1/12/1990	0.076
NYSE	GLV	2/3/2009	0.21
NYSE	GLV	11/4/2008	0.41
NYSE	GLV	8/5/2008	0.41
NYSE	GLV	5/6/2008	0.39
NYSE	GLV	2/5/2008	0.39
NYSE	GLV	11/6/2007	0.39
NYSE	GLV	8/7/2007	0.39
NYSE	GLV	5/8/2007	0.39
NYSE	GLV	1/30/2007	0.37
NYSE	GLV	11/7/2006	0.37
NYSE	GLV	8/8/2006	0.35
NYSE	GLV	5/2/2006	0.32
NYSE	GLV	1/31/2006	0.32
NYSE	GLV	11/8/2005	0.32
NYSE	GLV	8/9/2005	0.3
NYSE	GLV	5/2/2005	0.3
NYSE	GLV	2/1/2005	0.25
NYSE	GLV	11/8/2004	0.2
NYSE	GLV	8/10/2004	0.2
NYSE	GLV	5/4/2004	0.2
NYSE	GLV	2/3/2004	0.17
NYSE	GLV	11/4/2003	0.15
NYSE	GLV	8/5/2003	0.13
NYSE	GLV	5/2/2003	0.13
NYSE	GLV	2/4/2003	0.13
NYSE	GLV	11/5/2002	0.11
NYSE	GLV	8/6/2002	0.11
NYSE	GLV	5/6/2002	0.11
NYSE	GLV	2/5/2002	0.11
NYSE	GLV	11/6/2001	0.11
NYSE	GLV	8/7/2001	0.11
NYSE	GLV	5/8/2001	0.11
NYSE	GLV	1/30/2001	0.11
NYSE	GLV	11/7/2000	0.11
NYSE	GLV	8/8/2000	0.11
NYSE	GLV	5/4/2000	0.11
NYSE	GLV	2/1/2000	0.11
NYSE	GLV	11/2/1999	0.11
NYSE	GLV	8/3/1999	0.11
NYSE	GLV	5/4/1999	0.11
NYSE	GLV	2/2/1999	0.11
NYSE	GLV	11/3/1998	0.11
NYSE	GLV	8/4/1998	0.11
NYSE	GLV	5/5/1998	0.11
NYSE	GLV	2/3/1998	0.11
NYSE	GLV	11/4/1997	0.11
NYSE	GLV	8/5/1997	0.11
NYSE	GES	11/4/1994	0.042
NYSE	GES	11/4/1993	0.04167
NYSE	GES	7/19/1993	0.04167
NYSE	GES	2/23/1993	0.025
NYSE	GES	9/2/1992	0.01666
NYSE	GGN	11/5/2009	0.05
NYSE	GGN	8/13/2009	0.05
NYSE	GGN	5/14/2009	0.05
NYSE	GGN	2/18/2009	0.05
NYSE	GGN	8/13/2008	0.05
NYSE	GGN	5/21/2008	0.05
NYSE	GGN	2/13/2008	0.05
NYSE	GGN	11/7/2007	0.05
NYSE	GGN	8/15/2007	0.05
NYSE	GGN	5/16/2007	0.05
NYSE	GGN	2/14/2007	0.05
NYSE	GGN	11/8/2006	0.05
NYSE	GGN	8/16/2006	0.05
NYSE	GGN	5/17/2006	0.05
NYSE	GGN	2/15/2006	0.05
NYSE	GGN	11/14/2005	0.05
NYSE	GGN	8/10/2005	0.05
NYSE	GGN	5/11/2005	0.05
NYSE	GGN	2/10/2005	0.05
NYSE	GGN	11/8/2004	0.045
NYSE	GGN	8/16/2004	0.045
NYSE	GGN	5/10/2004	0.045
NYSE	GGN	2/13/2004	0.045
NYSE	GGN	11/5/2003	0.045
NYSE	GGN	8/8/2003	0.045
NYSE	GGN	5/13/2003	0.045
NYSE	GGN	2/14/2003	0.045
NYSE	GGN	11/12/2002	0.045
NYSE	GGN	8/20/2002	0.045
NYSE	GGN	7/1/2002	1.222
NYSE	GGN	5/15/2002	0.045
NYSE	GGN	2/13/2002	0.045
NYSE	GGN	11/14/2001	0.045
NYSE	GGN	8/16/2001	0.045
NYSE	GGN	5/16/2001	0.045
NYSE	GGN	2/14/2001	0.045
NYSE	GGN	11/15/2000	0.04
NYSE	GGN	8/23/2000	0.04
NYSE	GGN	5/24/2000	0.04
NYSE	GGN	2/16/2000	0.04
NYSE	GGN	11/16/1999	0.035
NYSE	GGN	8/25/1999	0.035
NYSE	GGN	5/26/1999	0.035
NYSE	GGN	2/11/1999	0.035
NYSE	GGN	11/4/1998	0.0325
NYSE	GGN	8/19/1998	0.0325
NYSE	GGN	5/20/1998	0.0325
NYSE	GGN	3/11/1998	0.1125
NYSE	GGN	2/12/1998	0.0325
NYSE	GGN	11/13/1997	0.0325
NYSE	GGN	8/20/1997	0.0325
NYSE	GGN	5/21/1997	0.0325
NYSE	GGN	2/13/1997	0.0325
NYSE	GGN	11/14/1996	0.0325
NYSE	GGN	8/22/1996	0.03
NYSE	GGN	5/22/1996	0.03
NYSE	GGN	2/14/1996	0.03
NYSE	GGN	11/15/1995	0.03
NYSE	GGN	8/23/1995	0.03
NYSE	GGN	5/22/1995	0.03
NYSE	GGN	2/13/1995	0.0275
NYSE	GGN	11/10/1994	0.0275
NYSE	GGN	8/22/1994	0.0275
NYSE	GGN	5/20/1994	0.025
NYSE	GGN	2/11/1994	0.025
NYSE	GGN	11/10/1993	0.025
NYSE	GGN	8/20/1993	0.025
NYSE	GGN	5/20/1993	0.025
NYSE	GGN	2/10/1993	0.025
NYSE	GGN	11/10/1992	0.025
NYSE	GGN	8/20/1992	0.025
NYSE	GGN	5/19/1992	0.0225
NYSE	GGN	2/10/1992	0.0225
NYSE	GGN	11/12/1991	0.0225
NYSE	GGN	8/20/1991	0.02
NYSE	GGN	5/20/1991	0.02
NYSE	GGN	2/11/1991	0.02
NYSE	GGN	11/9/1990	0.01875
NYSE	GGN	8/20/1990	0.01875
NYSE	GGN	5/21/1990	0.01875
NYSE	GGN	2/12/1990	0.01875
NYSE	GGN	11/13/1989	0.01875
NYSE	GDC	12/17/2009	0.51
NYSE	GDC	9/28/2009	0.51
NYSE	GDC	6/26/2009	0.5
NYSE	GDC	3/27/2009	0.5
NYSE	GDC	12/18/2008	0.5
NYSE	GDC	9/26/2008	0.5
NYSE	GDC	6/26/2008	0.5
NYSE	GDC	3/27/2008	0.5
NYSE	GDC	12/19/2007	0.5
NYSE	GDC	9/26/2007	0.49
NYSE	GDC	6/27/2007	0.49
NYSE	GDC	3/28/2007	0.49
NYSE	GDC	12/20/2006	0.49
NYSE	GDC	9/27/2006	0.49
NYSE	GDC	6/28/2006	0.49
NYSE	GDC	3/29/2006	0.49
NYSE	GDC	12/21/2005	0.49
NYSE	GDC	9/28/2005	0.49
NYSE	GDC	6/28/2005	0.49
NYSE	GDC	3/29/2005	0.49
NYSE	GDC	12/21/2004	0.49
NYSE	GDC	9/28/2004	0.49
NYSE	GDC	6/28/2004	0.485
NYSE	GDC	3/29/2004	0.485
NYSE	GDC	12/18/2003	0.485
NYSE	GDC	9/26/2003	0.485
NYSE	GDC	6/26/2003	0.485
NYSE	GDC	3/26/2003	0.48
NYSE	GDC	12/18/2002	0.46
NYSE	GDC	9/25/2002	0.46
NYSE	GDC	6/26/2002	0.46
NYSE	GDC	3/26/2002	0.46
NYSE	GDC	12/19/2001	0.46
NYSE	GDC	9/26/2001	0.46
NYSE	GDC	6/27/2001	0.46
NYSE	GDC	3/28/2001	0.46
NYSE	GDC	12/20/2000	0.46
NYSE	GDC	9/27/2000	0.46
NYSE	GDC	6/28/2000	0.46
NYSE	GDC	3/29/2000	0.46
NYSE	GDC	12/21/1999	0.46
NYSE	GDC	9/28/1999	0.46
NYSE	GDC	6/28/1999	0.46
NYSE	GDC	3/29/1999	0.46
NYSE	GDC	12/21/1998	0.46
NYSE	GDC	9/28/1998	0.46
NYSE	GDC	6/26/1998	0.46
NYSE	GDC	3/27/1998	0.46
NYSE	GDC	12/19/1997	0.46
NYSE	GDC	9/26/1997	0.46
NYSE	GDC	6/26/1997	0.45
NYSE	GDC	3/20/1997	0.45
NYSE	GDC	12/19/1996	0.45
NYSE	GDC	9/26/1996	0.45
NYSE	GDC	6/26/1996	0.45
NYSE	GDC	3/27/1996	0.45
NYSE	GDC	12/20/1995	0.45
NYSE	GDC	9/27/1995	0.45
NYSE	GDC	6/28/1995	0.45
NYSE	GDC	3/27/1995	0.45
NYSE	GDC	12/23/1994	0.45
NYSE	GDC	9/26/1994	0.45
NYSE	GDC	6/20/1994	0.45
NYSE	GYI	1/14/2010	0.13
NYSE	GYI	10/14/2009	0.13
NYSE	GYI	7/15/2009	0.13
NYSE	GYI	4/15/2009	0.13
NYSE	GYI	1/15/2009	0.13
NYSE	GYI	10/15/2008	0.13
NYSE	GYI	7/15/2008	0.13
NYSE	GYI	4/15/2008	0.13
NYSE	GYI	1/16/2008	0.13
NYSE	GYI	11/1/2007	8
NYSE	GYI	10/15/2007	0.15
NYSE	GYI	7/12/2007	0.15
NYSE	GYI	4/12/2007	0.15
NYSE	GYI	1/18/2007	0.15
NYSE	GYI	10/12/2006	0.15
NYSE	GYI	7/12/2006	0.15
NYSE	GYI	4/11/2006	0.15
NYSE	GYI	1/18/2006	0.15
NYSE	GYI	10/13/2005	0.15
NYSE	GYI	7/14/2005	0.15
NYSE	GYI	4/13/2005	0.15
NYSE	GYI	1/12/2005	0.15
NYSE	GYI	10/14/2004	0.15
NYSE	GYI	7/15/2004	0.15
NYSE	GYI	4/14/2004	0.15
NYSE	GYI	1/13/2004	0.15
NYSE	GYI	10/16/2003	0.15
NYSE	GYI	7/15/2003	0.15
NYSE	GYI	4/14/2003	0.15
NYSE	GYI	1/13/2003	0.15
NYSE	GYI	10/10/2002	0.15
NYSE	GYI	7/15/2002	0.15
NYSE	GYI	4/11/2002	0.15
NYSE	GYI	1/15/2002	0.15
NYSE	GEP	2/8/2010	0.41
NYSE	GEP	11/6/2009	0.41
NYSE	GEP	8/6/2009	0.41
NYSE	GEP	5/6/2009	0.41
NYSE	GEP	2/6/2009	0.41
NYSE	GEP	11/6/2008	0.41
NYSE	GEP	8/6/2008	0.41
NYSE	GEP	5/7/2008	0.41
NYSE	GEP	2/6/2008	0.41
NYSE	GEP	11/7/2007	0.41
NYSE	GEP	8/8/2007	0.39
NYSE	GEP	5/8/2007	0.39
NYSE	GEP	2/7/2007	0.39
NYSE	GEP	11/8/2006	0.39
NYSE	GEP	8/8/2006	0.37
NYSE	GEP	5/8/2006	0.37
NYSE	GEP	2/8/2006	0.37
NYSE	GEP	11/8/2005	0.37
NYSE	GEP	8/8/2005	0.35
NYSE	GEP	5/6/2005	0.35
NYSE	GEP	2/8/2005	0.35
NYSE	GEP	11/8/2004	0.35
NYSE	GEP	8/6/2004	0.35
NYSE	GEP	5/6/2004	0.35
NYSE	GEP	2/6/2004	0.35
NYSE	GEP	11/6/2003	0.35
NYSE	GEP	8/6/2003	0.35
NYSE	GEP	5/7/2003	0.35
NYSE	GEP	2/6/2003	0.6
NYSE	GEP	11/6/2002	0.6
NYSE	GEP	8/7/2002	0.6
NYSE	GEP	5/8/2002	0.6
NYSE	GEP	2/6/2002	0.6
NYSE	GEP	11/7/2001	0.6
NYSE	GEP	8/8/2001	0.6
NYSE	GEP	5/8/2001	0.6
NYSE	GEP	2/7/2001	0.6
NYSE	GEP	11/8/2000	0.6
NYSE	GEP	8/8/2000	0.6
NYSE	GEP	5/8/2000	0.6
NYSE	GEP	2/8/2000	0.6
NYSE	GEP	11/8/1999	0.6
NYSE	GEP	8/6/1999	0.6
NYSE	GEP	5/6/1999	0.6
NYSE	GEP	2/8/1999	0.6
NYSE	GEP	11/6/1998	0.6
NYSE	GEP	8/6/1998	0.6
NYSE	GEP	5/6/1998	0.6
NYSE	GEP	2/6/1998	0.6
NYSE	GEP	11/6/1997	0.6
NYSE	GEP	8/6/1997	0.6
NYSE	GEP	5/7/1997	0.6
NYSE	GEP	2/6/1997	0.6
NYSE	GEP	11/6/1996	0.6
NYSE	GEP	8/7/1996	0.6
NYSE	GEP	5/8/1996	0.6
NYSE	GEP	2/8/1996	0.6
NYSE	GEP	11/8/1995	0.6
NYSE	GEP	8/8/1995	0.6
NYSE	GEP	5/4/1995	0.6
NYSE	GEP	2/6/1995	0.6
NYSE	GEP	11/4/1994	0.6
NYSE	GEP	8/4/1994	0.6
NYSE	GEP	5/4/1994	0.6
NYSE	GEP	2/4/1994	0.6
NYSE	GEP	11/4/1993	0.6
NYSE	GEP	8/4/1993	0.6
NYSE	GEP	5/4/1993	0.6
NYSE	GEP	2/4/1993	0.6
NYSE	GEP	11/4/1992	0.6
NYSE	GEP	8/4/1992	0.6
NYSE	GEP	5/4/1992	0.6
NYSE	GEP	2/4/1992	0.6
NYSE	GEP	11/4/1991	0.6
NYSE	GEP	8/5/1991	0.6
NYSE	GEP	5/6/1991	0.6
NYSE	GEP	2/4/1991	0.6
NYSE	GEP	11/5/1990	0.6
NYSE	GEP	8/6/1990	0.6
NYSE	GEP	5/4/1990	0.6
NYSE	GEP	2/5/1990	0.6
NYSE	GEP	8/4/1989	0.6
NYSE	GEP	5/4/1989	0.58
NYSE	GEP	2/6/1989	0.58
NYSE	GEP	11/4/1988	0.592
NYSE	GEP	8/4/1988	0.592
NYSE	GEP	5/4/1988	0.565
NYSE	GEP	2/4/1988	0.565
NYSE	GEP	11/4/1987	0.565
NYSE	GEP	8/4/1987	0.645
NYSE	GEP	5/5/1987	0.565
NYSE	GEP	2/4/1987	0.565
NYSE	GEP	11/4/1986	0.565
NYSE	GEP	8/5/1986	0.565
NYSE	GEP	5/5/1986	0.565
NYSE	GEP	2/4/1986	0.565
NYSE	GEP	11/5/1985	0.565
NYSE	GEP	8/5/1985	0.565
NYSE	GEP	5/6/1985	0.565
NYSE	GEP	2/5/1985	0.565
NYSE	GEP	11/2/1984	0.565
NYSE	GEP	8/6/1984	0.565
NYSE	GEP	5/4/1984	0.565
